customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,opentooffers,eventsparticipation,ridesparticipation,ownsaccessories,techsupport,regularservice,extendedwarranty,contract,insurance,paymentmethod,engagementscore,rfmservice,churn
EDDCD16B-500C-E911-A97F-000D3AF2837B,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
FC8B3F53-F0CC-E911-A812-000D3AF2457D,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No
72A9D1E7-A00C-E911-A975-000D3AF28740,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
D8FB74D0-DD0C-E911-A978-000D3AF262E1,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
0FBD7B3D-250C-E911-A97F-000D3AF2837B,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
CC3B8EF3-660C-E911-A972-000D3AF288B3,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
D9BB05D9-B432-E911-A97A-000D3AF27119,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
94E31747-470D-E911-A97F-000D3AF2837B,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No
CF260361-400D-E911-A975-000D3AF28740,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
